A1,A2,A3,A4,A5,A6,A7,A8,A9
8944,7317,5558,5894,16261,11452,14502,13211,27713
9038,7123,5567,5987,16161,11554,14605,13110,27715
9108,7173,5538,5898,16281,11436,14646,13071,27717
8936,7370,5478,5935,16306,11413,14414,13305,27719
8867,7334,5492,6014,16201,11506,14359,13348,27707
8959,7449,5477,5835,16408,11312,14436,13284,27720
9076,7308,5445,5883,16384,11328,14521,13191,27712
9157,7378,5365,5798,16535,11163,14522,13176,27698
9133,7375,5439,5779,16508,11218,14572,13154,27726
9094,7480,5400,5761,16574,11161,14494,13241,27735
9124,7630,5301,5677,16754,10978,14425,13307,27732
8887,7662,5393,5838,16549,11231,14280,13500,27780
8926,7717,5380,5811,16643,11191,14306,13528,27834
9271,7642,5291,5662,16913,10953,14562,13304,27866
9230,7638,5287,5776,16868,11063,14517,13414,27931
9066,7668,5452,5817,16734,11269,14518,13485,28003
8965,7608,5561,5959,16573,11520,14526,13567,28093
8998,7645,5494,5993,16643,11487,14492,13638,28130
9122,7452,5450,6119,16574,11569,14572,13571,28143
9026,7571,5452,6103,16597,11555,14478,13674,28152
9138,7459,5446,6113,16597,11559,14584,13572,28156
9049,7591,5353,6184,16640,11537,14402,13775,28177
9051,7446,5443,6244,16497,11687,14494,13690,28184
9251,7606,5246,6119,16857,11365,14497,13725,28222
9087,7834,5339,5984,16921,11323,14426,13818,28244
9096,7644,5383,6092,16740,11475,14479,13736,28215
8960,7748,5346,6115,16708,11461,14306,13863,28169
8806,7807,5456,6075,16613,11531,14262,13882,28144
9003,7704,5317,6064,16707,11381,14320,13768,28088
9082,7598,5353,6004,16680,11357,14435,13602,28037
8834,7594,5430,6078,16428,11508,14264,13672,27936
8459,8380,5205,5800,16839,11005,13664,14180,27844
9014,7487,5328,5930,16501,11258,14342,13417,27759
8902,7345,5489,5889,16247,11378,14391,13234,27625
8092,8144,5574,5697,16236,11271,13666,13841,27507
8423,8015,5319,5669,16438,10988,13742,13684,27426
8208,8130,5465,5547,16338,11012,13673,13677,27350
8169,8262,5380,5517,16431,10897,13549,13779,27328
8356,8051,5455,5460,16407,10915,13811,13511,27322
8229,8166,5425,5576,16395,11001,13654,13742,27396
8310,8139,5390,5577,16449,10967,13700,13716,27416
8350,8236,5353,5512,16586,10865,13703,13748,27451
8240,8222,5374,5634,16462,11008,13614,13856,27470
8279,8180,5461,5550,16459,11011,13740,13730,27470
8625,7864,5397,5538,16489,10935,14022,13402,27424
8483,7876,5400,5584,16359,10984,13883,13460,27343
8370,7844,5522,5538,16214,11060,13892,13382,27274
8763,7345,5739,5256,16108,10995,14502,12601,27103
9060,7131,5587,5101,16191,10688,14647,12232,26879
8862,6997,5874,4796,15859,10670,14736,11793,26529
8694,6972,5938,4577,15666,10515,14632,11549,26181
8422,6889,6116,4458,15311,10574,14538,11347,25885
8539,6749,6042,4468,15288,10510,14581,11217,25798
8187,7092,6160,4410,15279,10570,14347,11502,25849
8435,6962,6280,4233,15397,10513,14715,11195,25910
8256,7275,6062,4366,15531,10428,14318,11641,25959
8328,7315,6126,4144,15643,10270,14454,11459,25913
8508,7137,6128,4058,15645,10186,14636,11195,25831
8440,7032,6113,4171,15472,10284,14553,11203,25756
8077,7280,6063,4258,15357,10321,14140,11538,25678
8074,7278,5956,4299,15352,10255,14030,11577,25607
8253,6978,5789,4539,15231,10328,14042,11517,25559
8192,7182,5877,4295,15374,10172,14069,11477,25546
8230,7066,5908,4244,15296,10152,14138,11310,25448
8106,7264,5784,4218,15370,10002,13890,11482,25372
8144,7147,5836,4146,15291,9982,13980,11293,25273
8306,6948,5712,4134,15254,9846,14018,11082,25100
7953,6886,5735,4341,14839,10076,13688,11227,24915
7955,6925,5595,4264,14880,9859,13550,11189,24739
